epoch,time,train/ce_loss,train/dice_loss,train/aux_loss,metrics/mIoU,metrics/pixel_acc,val/ce_loss,val/dice_loss,val/aux_loss,lr/pg0,lr/pg1,lr/pg2
98,82.2405,0.00757,0.02132,0.00785,0.96506,0.99387,0.02817,0.02058,0,0.00140155,0.00140155,0.00140155
99,83.0383,0.00896,0.02277,0.01538,0.96506,0.99387,0.02817,0.02058,0,0.00140127,0.00140127,0.00140127
100,83.8659,0.00786,0.01839,0.00809,0.96506,0.99387,0.02817,0.02058,0,0.00140099,0.00140099,0.00140099
101,84.6485,0.00837,0.01757,0.01222,0.96804,0.9948,0.01994,0.01924,0,0.00140071,0.00140071,0.00140071
102,85.4569,0.01167,0.02047,0.01063,0.96804,0.9948,0.01994,0.01924,0,0.00140042,0.00140042,0.00140042
103,86.4005,0.00795,0.01771,0.0056,0.96804,0.9948,0.01994,0.01924,0,0.00140014,0.00140014,0.00140014
104,87.2163,0.00942,0.02373,0.00627,0.96804,0.9948,0.01994,0.01924,0,0.00139986,0.00139986,0.00139986
105,88.025,0.00946,0.01678,0.00775,0.96769,0.99517,0.01686,0.01914,0,0.00139957,0.00139957,0.00139957
106,88.8171,0.00989,0.01716,0.01273,0.96769,0.99517,0.01686,0.01914,0,0.00139929,0.00139929,0.00139929
107,89.6993,0.01743,0.01563,0.00769,0.96769,0.99517,0.01686,0.01914,0,0.00139901,0.00139901,0.00139901
108,90.5218,0.01092,0.01443,0.00641,0.96769,0.99517,0.01686,0.01914,0,0.00139873,0.00139873,0.00139873
109,91.4026,0.0082,0.01599,0.00593,0.96826,0.99586,0.01345,0.01872,0,0.00139844,0.00139844,0.00139844
110,92.2168,0.00782,0.01537,0.00603,0.96826,0.99586,0.01345,0.01872,0,0.00139816,0.00139816,0.00139816
111,92.9925,0.00652,0.01836,0.00642,0.96826,0.99586,0.01345,0.01872,0,0.00139788,0.00139788,0.00139788
112,93.7864,0.0113,0.01517,0.00656,0.96826,0.99586,0.01345,0.01872,0,0.00139759,0.00139759,0.00139759
113,94.561,0.01172,0.01477,0.00584,0.96877,0.9965,0.01125,0.01819,0,0.00139731,0.00139731,0.00139731
114,95.3698,0.00925,0.01609,0.00643,0.96877,0.9965,0.01125,0.01819,0,0.00139703,0.00139703,0.00139703
115,96.1686,0.00781,0.01477,0.00607,0.96877,0.9965,0.01125,0.01819,0,0.00139674,0.00139674,0.00139674
